Latitude (decimal degrees): 51.495
Longitude (decimal degrees): 10.798
Elevation (m): 181.0
month,year
1,2006
2,2006
3,2019
4,2014
5,2011
6,2012
7,2007
8,2008
9,2006
10,2006
11,2018
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20060101:0000,3.09,88.39,0.0,-0.0,0.0,293.97,3.99,220.0,97922.0
20060101:0100,2.84,89.82,0.0,-0.0,0.0,297.27,3.71,219.0,97941.0
20060101:0200,2.6,91.26,0.0,-0.0,0.0,300.56,3.44,215.0,97970.0
20060101:0300,2.35,92.69,0.0,-0.0,0.0,303.85,3.16,211.0,97980.0
20060101:0400,2.1,94.13,0.0,-0.0,0.0,307.15,2.88,207.0,98000.0
20060101:0500,1.85,95.56,0.0,-0.0,0.0,310.44,2.61,207.0,98039.0
20060101:0600,1.6,97.0,0.0,-0.0,0.0,313.73,2.33,210.0,98078.0
20060101:0700,1.36,98.43,0.0,-0.0,0.0,317.03,2.06,212.0,98147.0
20060101:0800,1.52,96.0,61.0,483.89,21.0,297.0,2.28,215.0,98235.0
20060101:0900,1.72,95.2,138.0,397.89,67.0,300.4,2.28,223.0,98303.0
20060101:1000,2.38,92.25,82.0,4.15,81.0,305.6,2.97,225.0,98382.0
20060101:1100,2.77,90.4,74.0,0.0,74.0,307.8,3.1,221.0,98391.0
20060101:1200,3.06,86.6,49.0,0.0,49.0,280.8,3.31,226.0,98382.0
20060101:1300,2.87,87.0,56.0,0.0,56.0,278.0,2.48,226.0,98411.0
20060101:1400,2.78,87.4,23.0,0.0,23.0,296.4,2.0,225.0,98450.0
20060101:1500,2.04,89.65,0.0,0.0,0.0,287.2,1.59,214.0,98538.0
20060101:1600,1.11,93.45,0.0,-0.0,0.0,286.0,1.45,196.0,98607.0
20060101:1700,0.25,95.35,0.0,-0.0,0.0,289.4,1.31,187.0,98675.0
20060101:1800,-0.19,95.65,0.0,-0.0,0.0,290.0,1.17,185.0,98753.0
20060101:1900,-0.78,95.7,0.0,-0.0,0.0,244.0,1.1,230.0,98812.0
20060101:2000,-0.37,95.8,0.0,-0.0,0.0,240.4,0.97,260.0,98871.0
20060101:2100,-0.72,96.15,0.0,-0.0,0.0,251.8,1.03,286.0,98939.0
20060101:2200,-1.14,96.5,0.0,-0.0,0.0,247.4,1.1,301.0,99008.0
20060101:2300,-1.22,96.4,0.0,-0.0,0.0,261.2,1.1,308.0,99057.0
20060102:0000,-1.48,96.5,0.0,-0.0,0.0,272.4,1.24,313.0,99076.0
