Latitude (decimal degrees):	51.495
Longitude (decimal degrees):	10.798
Elevation (m):	181
Radiation database:	PVGIS-SARAH2


Slope: 45 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,0.52,1.86,0.0
20200101:0110,0.0,0.0,0.0,0.0,0.11,1.86,0.0
20200101:0210,0.0,0.0,0.0,0.0,-0.19,1.66,0.0
20200101:0310,0.0,0.0,0.0,0.0,-0.6,1.59,0.0
20200101:0410,0.0,0.0,0.0,0.0,-1.0,1.45,0.0
20200101:0510,0.0,0.0,0.0,0.0,-0.81,1.31,0.0
20200101:0610,0.0,0.0,0.0,0.0,-1.12,1.17,0.0
20200101:0710,0.0,0.0,0.0,0.0,-0.99,1.24,0.0
20200101:0810,55.73,36.19,1.14,4.74,-0.73,1.17,0.0
20200101:0910,93.93,93.39,3.02,10.28,-0.51,0.9,0.0
20200101:1010,103.09,125.32,4.22,13.96,-0.09,0.76,0.0
20200101:1110,149.98,150.14,5.1,15.47,0.5,0.83,0.0
20200101:1210,147.37,142.37,4.8,14.67,1.08,1.03,0.0
20200101:1310,159.54,120.01,3.9,11.63,1.5,1.17,0.0
20200101:1410,136.12,73.14,2.08,6.62,1.24,1.03,0.0
20200101:1510,0.0,0.0,0.0,0.0,0.36,1.1,0.0
20200101:1610,0.0,0.0,0.0,0.0,-1.34,1.17,0.0
20200101:1710,0.0,0.0,0.0,0.0,-2.46,1.38,0.0
20200101:1810,0.0,0.0,0.0,0.0,-3.3,1.45,0.0
20200101:1910,0.0,0.0,0.0,0.0,-3.15,1.45,0.0
20200101:2010,0.0,0.0,0.0,0.0,-3.35,1.52,0.0
20200101:2110,0.0,0.0,0.0,0.0,-3.61,1.66,0.0
20200101:2210,0.0,0.0,0.0,0.0,-3.67,1.86,0.0
20200101:2310,0.0,0.0,0.0,0.0,-3.45,1.86,0.0
20200102:0010,0.0,0.0,0.0,0.0,-3.09,1.79,0.0
20200102:0110,0.0,0.0,0.0,0.0,-2.8,1.59,0.0
20200102:0210,0.0,0.0,0.0,0.0,-2.22,1.31,0.0
20200102:0310,0.0,0.0,0.0,0.0,-1.87,1.17,0.0
20200102:0410,0.0,0.0,0.0,0.0,-1.74,1.03,0.0
20200102:0510,0.0,0.0,0.0,0.0,-2.13,1.1,0.0
20200102:0610,0.0,0.0,0.0,0.0,-2.84,1.24,0.0
20200102:0710,0.0,0.0,0.0,0.0,-3.83,1.59,0.0
20200102:0810,152.13,49.57,1.49,4.77,-3.82,1.72,0.0
20200102:0910,333.25,123.22,4.25,10.32,-1.71,1.72,0.0
20200102:1010,540.61,137.63,6.53,14.02,1.04,2.14,0.0
20200102:1110,658.92,126.44,7.62,15.55,1.91,3.03,0.0
20200102:1210,619.7,126.29,7.12,14.76,2.17,3.17,0.0
20200102:1310,482.57,120.39,5.33,11.74,2.2,3.38,0.0
20200102:1410,305.68,83.92,2.67,6.74,1.52,3.31,0.0
20200102:1510,0.0,0.0,0.0,0.0,0.37,3.24,0.0
20200102:1610,0.0,0.0,0.0,0.0,-0.03,3.1,0.0
20200102:1710,0.0,0.0,0.0,0.0,-0.03,3.03,0.0
20200102:1810,0.0,0.0,0.0,0.0,0.22,2.83,0.0
20200102:1910,0.0,0.0,0.0,0.0,0.3,3.38,0.0
20200102:2010,0.0,0.0,0.0,0.0,0.74,3.45,0.0
20200102:2110,0.0,0.0,0.0,0.0,1.01,3.38,0.0
20200102:2210,0.0,0.0,0.0,0.0,1.34,3.52,0.0
20200102:2310,0.0,0.0,0.0,0.0,1.69,3.66,0.0
20200103:0010,0.0,0.0,0.0,0.0,1.95,3.93,0.0
20200103:0110,0.0,0.0,0.0,0.0,2.37,4.07,0.0
20200103:0210,0.0,0.0,0.0,0.0,2.39,4.0,0.0
20200103:0310,0.0,0.0,0.0,0.0,2.56,4.21,0.0
20200103:0410,0.0,0.0,0.0,0.0,2.63,4.48,0.0
20200103:0510,0.0,0.0,0.0,0.0,2.77,4.34,0.0
20200103:0610,0.0,0.0,0.0,0.0,2.85,4.14,0.0
20200103:0710,0.0,0.0,0.0,0.0,3.46,4.69,0.0
20200103:0810,0.0,16.2,0.56,4.81,3.87,4.97,0.0
