Latitude (decimal degrees):	51.495
Longitude (decimal degrees):	10.798
Elevation (m):	181
Radiation database:	PVGIS-SARAH2


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.52,1.86,0.0
20200101:0110,0.0,0.0,0.11,1.86,0.0
20200101:0210,0.0,0.0,-0.19,1.66,0.0
20200101:0310,0.0,0.0,-0.6,1.59,0.0
20200101:0410,0.0,0.0,-1.0,1.45,0.0
20200101:0510,0.0,0.0,-0.81,1.31,0.0
20200101:0610,0.0,0.0,-1.12,1.17,0.0
20200101:0710,0.0,0.0,-0.99,1.24,0.0
20200101:0810,93.06,4.74,-0.73,1.17,0.0
20200101:0910,190.33,10.28,-0.51,0.9,0.0
20200101:1010,232.63,13.96,-0.09,0.76,0.0
20200101:1110,305.22,15.47,0.5,0.83,0.0
20200101:1210,294.54,14.67,1.08,1.03,0.0
20200101:1310,283.45,11.63,1.5,1.17,0.0
20200101:1410,211.35,6.62,1.24,1.03,0.0
20200101:1510,0.0,0.0,0.36,1.1,0.0
20200101:1610,0.0,0.0,-1.34,1.17,0.0
20200101:1710,0.0,0.0,-2.46,1.38,0.0
20200101:1810,0.0,0.0,-3.3,1.45,0.0
20200101:1910,0.0,0.0,-3.15,1.45,0.0
20200101:2010,0.0,0.0,-3.35,1.52,0.0
20200101:2110,0.0,0.0,-3.61,1.66,0.0
20200101:2210,0.0,0.0,-3.67,1.86,0.0
20200101:2310,0.0,0.0,-3.45,1.86,0.0
20200102:0010,0.0,0.0,-3.09,1.79,0.0
20200102:0110,0.0,0.0,-2.8,1.59,0.0
20200102:0210,0.0,0.0,-2.22,1.31,0.0
20200102:0310,0.0,0.0,-1.87,1.17,0.0
20200102:0410,0.0,0.0,-1.74,1.03,0.0
20200102:0510,0.0,0.0,-2.13,1.1,0.0
20200102:0610,0.0,0.0,-2.84,1.24,0.0
20200102:0710,0.0,0.0,-3.83,1.59,0.0
20200102:0810,203.19,4.77,-3.82,1.72,0.0
20200102:0910,460.72,10.32,-1.71,1.72,0.0
20200102:1010,684.77,14.02,1.04,2.14,0.0
20200102:1110,792.98,15.55,1.91,3.03,0.0
20200102:1210,753.1,14.76,2.17,3.17,0.0
20200102:1310,608.3,11.74,2.2,3.38,0.0
20200102:1410,392.26,6.74,1.52,3.31,0.0
20200102:1510,0.0,0.0,0.37,3.24,0.0
20200102:1610,0.0,0.0,-0.03,3.1,0.0
20200102:1710,0.0,0.0,-0.03,3.03,0.0
20200102:1810,0.0,0.0,0.22,2.83,0.0
20200102:1910,0.0,0.0,0.3,3.38,0.0
20200102:2010,0.0,0.0,0.74,3.45,0.0
20200102:2110,0.0,0.0,1.01,3.38,0.0
20200102:2210,0.0,0.0,1.34,3.52,0.0
20200102:2310,0.0,0.0,1.69,3.66,0.0
20200103:0010,0.0,0.0,1.95,3.93,0.0
20200103:0110,0.0,0.0,2.37,4.07,0.0
20200103:0210,0.0,0.0,2.39,4.0,0.0
20200103:0310,0.0,0.0,2.56,4.21,0.0
20200103:0410,0.0,0.0,2.63,4.48,0.0
20200103:0510,0.0,0.0,2.77,4.34,0.0
20200103:0610,0.0,0.0,2.85,4.14,0.0
20200103:0710,0.0,0.0,3.46,4.69,0.0
20200103:0810,16.76,4.81,3.87,4.97,0.0
20200103:0910,31.75,10.38,4.34,5.24,0.0
20200103:1010,50.28,14.09,4.67,5.31,0.0
20200103:1110,52.04,15.64,4.89,5.31,0.0
20200103:1210,182.1,14.87,4.87,5.17,0.0
20200103:1310,64.48,11.86,4.88,5.03,0.0
20200103:1410,13.23,6.87,5.06,5.17,0.0
20200103:1510,0.0,0.0,5.27,5.1,0.0
20200103:1610,0.0,0.0,5.39,5.17,0.0
20200103:1710,0.0,0.0,5.72,5.52,0.0
20200103:1810,0.0,0.0,5.96,5.66,0.0
20200103:1910,0.0,0.0,5.89,5.86,0.0
